species	gi	accession	genome_size	group	family	boot_A	boot_B1	boot_B23	boot_C1	boot_C3	boot_E	boot_F	boot_G	class_A	class_B1	class_B23	class_C1	class_C3	class_E	class_F	class_G	predicted
Arundinaria fargesii	675154042	NC_024712.1	139696	LILI	Poaceae	1.0	7.0	76.0	1.0	1.0	0.0	14.0	0.0	2.3843611965056736e-05	3.360278180323347e-05	0.998773748804459	1.3050202728948118e-08	7.635696635514972e-05	0.0006947828924255354	5.634712120591428e-06	0.00039201718066854505	['B23']
Neyraudia reynaudiana	651424220	NC_024262.1	135367	LILI	Poaceae	1.0	7.0	76.0	1.0	1.0	0.0	14.0	0.0	1.881491139047928e-05	2.6879714374471048e-05	0.9991492644962319	8.484066190914691e-09	6.191198442741615e-05	0.0004745658142808426	3.5143424410918544e-06	0.00026504025278747023	['B23']
Conopholis americana	568246793	NC_023131.1	45673	EUDI	Orobanchaceae	43.0	0.0	45.0	7.0	2.0	0.0	1.0	2.0	0.5543510479956485	4.80554364719944e-10	0.44120546662234805	0.00039703443977430377	0.0015190947526567758	0.00018613797298614593	0.0002539248966488566	0.002087292839383036	['A']
Azadirachta indica	595789659	NC_023792.1	160737	EUDI	Meliaceae	7.0	5.0	72.0	2.0	0.0	0.0	12.0	2.0	0.0002120178299766788	1.6433576529508484e-05	0.9876526904870735	1.0423493962433498e-06	0.0001476295991820122	0.011132948845565326	6.146608698756807e-06	0.0008310907035777997	['B23']
Cistanche deserticola	501595124	NC_021111.1	102657	EUDI	Orobanchaceae	7.0	11.0	65.0	3.0	0.0	0.0	11.0	3.0	0.0029841105378519456	0.0004288180772135602	0.8923700378494744	1.6159476204914716e-05	0.0005991464742416115	0.09769436843949675	4.353045646162426e-05	0.005863828689055083	['B23']
Helianthus grosseserratus	568247222	NC_023108.1	151017	EUDI	Asteraceae	2.0	1.0	76.0	3.0	0.0	0.0	13.0	5.0	0.03780041468318689	0.00031632305713118306	0.905901245612367	7.91156187681706e-05	0.0019311906218419138	0.04389546073445616	0.0012247476172468792	0.008851502055001898	['B23']
Eucalyptus microcorys	545718460	NC_022404.1	160225	EUDI	Myrtaceae	3.0	7.0	77.0	1.0	1.0	0.0	11.0	0.0	0.0010630681847194666	8.175266421678e-05	0.9740546942076783	1.2299870527479226e-06	0.00041980614127178696	0.023350966483776905	3.2127460180010884e-05	0.0009963548711039347	['B23']
Camellia reticulata	671743386	NC_024663.1	156971	EUDI	Theaceae	4.0	4.0	75.0	1.0	1.0	0.0	14.0	1.0	0.000209432955909035	2.1782653986831157e-05	0.9860218088355079	3.491782827926563e-07	0.00018759646234676965	0.013107301935677662	1.3717238460789413e-05	0.00043801073982832465	['B23']
Helianthus giganteus	568247136	NC_023107.1	151066	EUDI	Asteraceae	2.0	1.0	76.0	3.0	0.0	0.0	13.0	5.0	0.03780041468318689	0.00031632305713118306	0.905901245612367	7.91156187681706e-05	0.0019311906218419138	0.04389546073445616	0.0012247476172468792	0.008851502055001898	['B23']
Musa textilis	563940531	NC_022926.1	161347	LILI	Musaceae	2.0	7.0	81.0	1.0	1.0	0.0	8.0	0.0	0.0005619683666337821	4.334317119028406e-05	0.9970870137061442	5.2635253373106154e-08	0.00021909054408630297	0.0018816333933224301	1.0263316922270826e-05	0.00019663486644722576	['B23']
Glycyrrhiza glabra	628249885	NC_024038.1	127943	EUDI	Fabaceae	10.0	2.0	83.0	1.0	1.0	0.0	3.0	0.0	9.53008902825228e-05	2.2902705043591183e-06	0.9973361112175093	1.1480180794378446e-07	7.286825159273975e-05	0.0023214494358236937	8.162056486057493e-07	0.00017104892683075028	['B23']
Gossypium mustelinum	372291753	NC_016711.1	160313	EUDI	Malvaceae	3.0	6.0	74.0	1.0	1.0	0.0	14.0	1.0	0.0007841640191978448	7.839210242055932e-05	0.9737562648463735	8.320500470973737e-07	0.0003893967552963321	0.024183173410778525	3.047371520348253e-05	0.0007773031006825715	['B23']
Phaeocystis globosa	520850646	NC_021637.1	107461	HAP	Phaeocystaceae	4.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0017738221641323381	2.048608243715644e-10	0.9978646660163222	6.744399301281512e-10	0.0002737695137811135	8.706978997567461e-05	1.9192078198262303e-07	4.797157059660448e-07	['B23']
Glycine stenophita	526175959	NC_021646.1	152618	EUDI	Fabaceae	5.0	3.0	81.0	1.0	1.0	0.0	9.0	0.0	2.0238266341016047e-05	1.4095214654545592e-06	0.9991252001069716	2.55116038530083e-08	4.053073548291782e-05	0.0007328506298697349	1.0167138919876925e-06	7.872851437334251e-05	['B23']
Chionochloa macra	694136831	NC_025230.1	135720	LILI	Poaceae	2.0	5.0	75.0	3.0	1.0	0.0	14.0	0.0	8.835290647853893e-05	7.559877835170983e-06	0.9983656529324334	2.2118098577095337e-07	9.990608526619379e-05	0.0008120095128736713	7.2108458789060324e-06	0.0006190866582482165	['B23']
Interfilum terricola	NC_025542.1	NC_025542.1	000000	Charo	charo	45.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.00045795072988243514	9.649429149644174e-13	0.9990624782070215	2.2986938252228636e-10	0.0002966719323236716	0.00018171363904297388	1.1181163748754262e-06	6.714452034596419e-08	['B23']
Eucalyptus curtisii	545717342	NC_022391.1	160038	EUDI	Myrtaceae	3.0	7.0	77.0	1.0	1.0	0.0	11.0	0.0	0.0010630681847194666	8.175266421678e-05	0.9740546942076783	1.2299870527479226e-06	0.00041980614127178696	0.023350966483776905	3.2127460180010884e-05	0.0009963548711039347	['B23']
Aegilops cylindrica	568246973	NC_023096.1	113490	LILI	Poaceae	12.0	4.0	79.0	0.0	1.0	0.0	4.0	0.0	0.0001252136490704075	3.2583283015723692e-06	0.9992932827816834	8.340753698644836e-09	7.915728557749125e-05	0.0003854967279579136	8.224776512836624e-07	0.00011276040900433624	['B23']
Lolium multiflorum	427437197	NC_019651.1	135175	LILI	Poaceae	2.0	5.0	78.0	1.0	1.0	0.0	13.0	0.0	3.2176621657860035e-05	1.1849438200792958e-05	0.9978593690916294	2.252899653724887e-08	0.00012082474776234835	0.0013066766655838254	1.226579972263589e-05	0.0006568151064466741	['B23']
Artemisia frigida	470227687	NC_020607.1	151076	EUDI	Asteraceae	1.0	5.0	67.0	3.0	0.0	0.0	20.0	4.0	0.015398214572355805	0.0009031577646439083	0.9087776905393926	0.00024147147835638542	0.0017958053137997385	0.03464694075127904	0.010613909635479079	0.027622809944693332	['B23']
Vertebrata lanosa	788228838	NC_026523.1	167158	RED	Rhodomelaceae	15.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.005688838513252728	1.4392851518771452e-11	0.9932541958391959	5.693490784500171e-09	0.0009731316193649689	1.756231867923475e-05	6.513051406449713e-05	1.1354875589834613e-06	['B23']
Gonium pectorale	459314754	NC_020438.1	222582	CPH	Volvocaceae	14.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	3.083696837738765e-08	4.524445380997268e-13	0.9999993359045656	1.8447067311210304e-13	5.517694362031867e-07	7.641685213621498e-08	3.2254978565306006e-11	5.039285706248434e-09	['B23']
Eucalyptus cloeziana	545717084	NC_022388.1	160015	EUDI	Myrtaceae	7.0	6.0	73.0	1.0	1.0	0.0	11.0	1.0	0.0007454130387619342	8.589996391893789e-05	0.9648471687581096	1.4845369436548128e-06	0.00032249956265817045	0.03274760482533188	2.1757237267562147e-05	0.0012281720770081067	['B23']
Heterosigma akashiwo	189095288	NC_010772.1	159370	DTM	Chattonellaceae	2.0	0.0	96.0	0.0	0.0	0.0	2.0	0.0	6.273497560702629e-06	6.0149395344883594e-09	0.9997444809910632	7.829725145045094e-10	7.559807378111323e-05	0.00014355726289932158	1.5153744739117801e-06	2.8568002309859594e-05	['B23']
Cenchrus americanus	649132343	NC_024171.1	140718	LILI	Poaceae	4.0	6.0	80.0	1.0	0.0	0.0	9.0	0.0	6.364494493487536e-06	2.715228621270938e-06	0.9998940214660236	9.399688281123358e-10	1.73539292538425e-05	6.047750207834947e-05	2.126823823649466e-07	1.885375717820895e-05	['B23']
Pharus lappulaceus	570700293	NC_023245.1	141928	LILI	Poaceae	3.0	3.0	84.0	1.0	1.0	0.0	8.0	0.0	3.59130083929846e-05	6.534489199333465e-06	0.999685682714392	1.2277471907716e-08	3.7975249508135854e-05	0.0001389803789995723	4.1689983641103176e-07	9.44849821997721e-05	['B23']
Pharus latifolius	511347561	NC_021372.1	142077	LILI	Poaceae	4.0	3.0	86.0	1.0	1.0	0.0	5.0	0.0	7.451402213268671e-06	2.985442363466603e-07	0.9999500830680821	3.0953899201552507e-09	6.448113111075794e-06	2.4740370741272917e-06	8.144068021393755e-09	3.3233595825146584e-05	['B23']
Populus euphratica	675155215	NC_024747.1	156766	EUDI	Salicaceae	2.0	4.0	78.0	1.0	1.0	0.0	13.0	1.0	0.002526109997865309	7.941977426404305e-05	0.9372234495675917	4.2714218811460754e-06	0.0008540811925861559	0.05629111742526573	0.0001481007127701754	0.0028734499077755944	['B23']
Gossypium stocksii	570879893	NC_023217.1	159039	EUDI	Malvaceae	3.0	4.0	70.0	1.0	1.0	0.0	21.0	0.0	0.0007001573289972537	0.00016458577021445187	0.9641758903294573	1.0443983608927267e-06	0.0004484719448689582	0.033302095211796015	8.885929861377212e-05	0.001118895717691171	['B23']
Sarocalamus faberi	675154126	NC_024713.1	139629	LILI	Poaceae	1.0	7.0	76.0	1.0	1.0	0.0	14.0	0.0	2.3843611965056736e-05	3.360278180323347e-05	0.998773748804459	1.3050202728948118e-08	7.635696635514972e-05	0.0006947828924255354	5.634712120591428e-06	0.00039201718066854505	['B23']
Cymbidium tortisepalum	512721395	NC_021431.1	155627	LILI	Orchidaceae	8.0	3.0	79.0	3.0	1.0	0.0	5.0	1.0	0.0004667671597516141	2.133146435479013e-06	0.9989333418939812	1.42295719562684e-07	9.140462890316462e-05	0.0002528645068832178	1.191361819725463e-06	0.000252155006505924	['B23']
Fargesia yunnanensis	675154462	NC_024717.1	139609	LILI	Poaceae	1.0	7.0	74.0	1.0	1.0	0.0	16.0	0.0	1.8595034807458027e-05	4.4011951192473835e-05	0.9983985451593453	1.4030661922440242e-08	8.000482147022031e-05	0.0009180631803377087	8.124789845628064e-06	0.0005326410323392523	['B23']
Chlorella sorokiniana	598324223	NC_023835.1	109811	CPH	Chlorellaceae	13.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.00019778210308822285	3.988683559489906e-12	0.9996217504911658	9.784191793332057e-10	0.00016551667560164767	1.3284121597638705e-05	1.350645662467907e-06	3.1498047637411583e-07	['B23']
Camellia crapnelliana	669099978	NC_024541.1	156997	EUDI	Theaceae	4.0	4.0	75.0	1.0	1.0	0.0	14.0	1.0	0.000209432955909035	2.1782653986831157e-05	0.9860218088355079	3.491782827926563e-07	0.00018759646234676965	0.013107301935677662	1.3717238460789413e-05	0.00043801073982832465	['B23']
Lindenbergia philippensis	558603845	NC_022859.1	155103	EUDI	Orobanchaceae	3.0	5.0	75.0	1.0	1.0	0.0	15.0	0.0	0.0016009933844326595	0.0001145103011599689	0.9740612531980372	1.3081754361671836e-06	0.0005535502194447283	0.02256414041827567	8.379831904559711e-05	0.0010204459841679655	['B23']
Trifolium aureum	627399186	NC_024035.1	126970	EUDI	Fabaceae	4.0	4.0	88.0	1.0	0.0	0.0	2.0	1.0	0.0015188554673145616	1.40231915287721e-05	0.9834197932497228	9.139298150659075e-07	0.0004913244469338637	0.013470025327168346	9.911901045702954e-06	0.0010751524864708584	['B23']
Thalassiosira pseudonana	118411095	NC_008589.1	128814	DTM	Thalassiosiraceae	11.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.004958660504232375	1.3009473330499535e-10	0.9943805455101952	1.0813596678404641e-09	0.000513265213996246	0.00014639210694471463	6.299849481372625e-07	5.054682291080745e-07	['B23']
Gossypium herbaceum	570759555	NC_023215.1	160140	EUDI	Malvaceae	8.0	4.0	65.0	2.0	2.0	0.0	16.0	3.0	0.0002471616843743286	2.9140578956216104e-05	0.9729748031410013	1.35236860755016e-06	0.00018578633880168157	0.02549136904011571	1.4177444361079203e-05	0.0010562094037820664	['B23']
Triticum monococcum	525778484	NC_021760.1	116399	LILI	Poaceae	12.0	4.0	79.0	0.0	1.0	0.0	4.0	0.0	0.0001252136490704075	3.2583283015723692e-06	0.9992932827816834	8.340753698644836e-09	7.915728557749125e-05	0.0003854967279579136	8.224776512836624e-07	0.00011276040900433624	['B23']
